UserID,Age,Gender,FitnessGoal,ActivityPreference,CurrentFitnessLevel,BodyMassIndex,HealthConditions,TimeAvailability,DietPreference,RecommendedWorkout,RecommendedDiet
U0043,54,Male,Endurance,Swimming,Intermediate,27.9,Hypertension,1,Vegetarian,Weightlifting,Calorie-Deficit
U0044,20,Non-Binary,Muscle Gain,Cardio,Beginner,24.5,None,3,Vegetarian,HIIT,Calorie-Deficit
U0045,52,Non-Binary,Weight Loss,Strength Training,Beginner,26.2,Hypertension,4,Vegan,Weightlifting,Balanced
U0046,53,Male,Endurance,Yoga,Beginner,20.5,Diabetes,10,Keto,Swimming,Low-Carb
U0047,51,Male,Weight Loss,Cardio,Advanced,26.1,Diabetes,8,Vegetarian,HIIT,Low-Carb
U0048,32,Non-Binary,General Fitness,Swimming,Beginner,26.1,Diabetes,8,Non-Vegetarian,Swimming,High-Protein
U0049,29,Female,General Fitness,Cardio,Advanced,18.6,Hypertension,1,Vegetarian,Yoga,High-Protein
U0050,39,Non-Binary,Endurance,Strength Training,Advanced,19.6,Diabetes,2,Non-Vegetarian,HIIT,Balanced
U0051,36,Non-Binary,Muscle Gain,Cardio,Advanced,25.3,Diabetes,4,Non-Vegetarian,Swimming,Balanced
U0052,59,Female,Endurance,Cardio,Advanced,21.5,Asthma,2,Vegan,Swimming,Low-Carb
U0053,57,Male,General Fitness,Swimming,Advanced,21.3,Asthma,10,Vegan,Yoga,Low-Carb
U0054,31,Female,Muscle Gain,Cardio,Intermediate,23.3,Hypertension,9,Vegan,HIIT,Balanced
U0055,23,Female,Endurance,Strength Training,Beginner,24.1,Hypertension,2,Vegan,Swimming,High-Protein
U0056,56,Male,General Fitness,Cardio,Intermediate,19.3,Diabetes,4,Non-Vegetarian,HIIT,Low-Carb
U0057,39,Female,Endurance,Swimming,Advanced,28.8,Diabetes,5,Non-Vegetarian,Swimming,High-Protein
U0058,59,Male,Muscle Gain,Strength Training,Beginner,26.6,Diabetes,3,Non-Vegetarian,Weightlifting,High-Protein
U0059,35,Male,Weight Loss,Yoga,Advanced,23.8,Asthma,7,Non-Vegetarian,Yoga,Balanced
U0060,26,Male,General Fitness,Yoga,Beginner,20.6,None,1,Non-Vegetarian,Weightlifting,High-Protein
U0061,53,Male,General Fitness,Swimming,Advanced,25.8,Diabetes,5,Vegan,Yoga,Balanced
U0062,26,Male,Weight Loss,Cardio,Intermediate,21.3,None,2,Non-Vegetarian,Weightlifting,High-Protein
U0063,21,Female,Endurance,Strength Training,Advanced,22.2,Diabetes,10,Vegetarian,Yoga,Low-Carb
U0064,52,Non-Binary,General Fitness,Cardio,Intermediate,19.4,None,3,Vegetarian,Swimming,High-Protein
U0065,55,Male,General Fitness,Cardio,Intermediate,19.0,Hypertension,3,Vegetarian,Weightlifting,Balanced
U0066,55,Female,Muscle Gain,Swimming,Beginner,21.1,Diabetes,9,Vegetarian,Yoga,High-Protein
U0067,40,Female,Weight Loss,Swimming,Beginner,26.0,Diabetes,6,Keto,HIIT,Balanced
U0068,46,Female,Weight Loss,Strength Training,Beginner,19.1,Hypertension,7,Non-Vegetarian,Weightlifting,Balanced
U0069,45,Female,General Fitness,Cardio,Advanced,20.2,Asthma,5,Vegan,HIIT,Balanced
U0070,44,Female,Weight Loss,Swimming,Intermediate,21.5,None,8,Keto,Yoga,High-Protein
U0071,41,Female,Weight Loss,Yoga,Beginner,25.0,Diabetes,8,Keto,Swimming,Balanced
U0072,27,Male,Weight Loss,Cardio,Beginner,24.2,None,10,Vegetarian,Yoga,Low-Carb
U0073,53,Non-Binary,Weight Loss,Swimming,Beginner,28.4,None,8,Keto,Weightlifting,High-Protein
U0074,54,Male,General Fitness,Yoga,Advanced,29.0,Asthma,3,Vegan,Weightlifting,High-Protein
U0075,53,Female,Endurance,Swimming,Intermediate,22.0,Asthma,8,Keto,Yoga,Balanced
U0076,29,Male,Endurance,Yoga,Advanced,28.0,Diabetes,7,Non-Vegetarian,Weightlifting,Calorie-Deficit
U0077,21,Female,Weight Loss,Swimming,Advanced,27.9,None,5,Vegetarian,Yoga,High-Protein
U0078,52,Non-Binary,Weight Loss,Yoga,Advanced,24.2,None,6,Non-Vegetarian,Weightlifting,Balanced
U0079,40,Non-Binary,Weight Loss,Strength Training,Advanced,21.4,Asthma,4,Vegan,HIIT,Balanced
U0080,29,Non-Binary,General Fitness,Swimming,Intermediate,27.0,Diabetes,3,Keto,Swimming,Low-Carb
U0081,47,Male,Endurance,Swimming,Advanced,21.4,None,8,Vegetarian,Yoga,Low-Carb
U0082,29,Male,Endurance,Swimming,Intermediate,28.7,Diabetes,7,Vegetarian,Swimming,Balanced
U0083,42,Female,Muscle Gain,Strength Training,Beginner,23.6,None,10,Vegan,Weightlifting,Calorie-Deficit
U0084,41,Male,Muscle Gain,Yoga,Beginner,28.9,Asthma,3,Vegan,Weightlifting,High-Protein
U0085,45,Female,Weight Loss,Yoga,Beginner,21.3,None,2,Non-Vegetarian,Swimming,Low-Carb
U0086,40,Male,Endurance,Strength Training,Advanced,29.4,Asthma,8,Vegan,Yoga,Low-Carb
U0087,33,Non-Binary,Muscle Gain,Swimming,Advanced,24.2,Diabetes,2,Keto,Swimming,High-Protein
U0088,37,Male,Endurance,Strength Training,Beginner,28.9,Hypertension,8,Non-Vegetarian,Yoga,Low-Carb
U0089,50,Female,Weight Loss,Strength Training,Beginner,21.7,Diabetes,8,Non-Vegetarian,Yoga,Calorie-Deficit
U0090,45,Female,Endurance,Strength Training,Advanced,23.4,Asthma,9,Non-Vegetarian,Swimming,Calorie-Deficit
U0091,39,Female,Weight Loss,Yoga,Intermediate,22.8,Hypertension,9,Vegan,Yoga,Low-Carb
U0092,41,Non-Binary,Endurance,Yoga,Intermediate,20.2,Hypertension,9,Keto,Yoga,High-Protein
U0093,35,Non-Binary,Muscle Gain,Yoga,Advanced,27.0,Asthma,6,Vegan,Weightlifting,Low-Carb
U0094,34,Female,General Fitness,Swimming,Intermediate,21.1,None,2,Vegan,Yoga,High-Protein
U0095,51,Male,Muscle Gain,Strength Training,Beginner,26.1,Asthma,2,Keto,Weightlifting,High-Protein
U0096,36,Non-Binary,Weight Loss,Strength Training,Advanced,25.7,Asthma,3,Non-Vegetarian,HIIT,Calorie-Deficit
U0097,18,Female,Muscle Gain,Strength Training,Intermediate,25.9,None,5,Keto,Weightlifting,Balanced
U0098,48,Female,General Fitness,Strength Training,Advanced,23.7,Asthma,5,Vegetarian,HIIT,Low-Carb
U0099,30,Male,Weight Loss,Cardio,Intermediate,27.9,Diabetes,5,Keto,Swimming,High-Protein
U0100,43,Non-Binary,Weight Loss,Cardio,Advanced,23.1,Hypertension,8,Non-Vegetarian,Yoga,Balanced
U0101,37,Male,Muscle Gain,Yoga,Beginner,22.2,None,8,Vegan,Yoga,Calorie-Deficit
U0102,44,Male,Muscle Gain,Yoga,Advanced,25.3,Diabetes,3,Vegan,Swimming,Balanced
U0103,57,Non-Binary,General Fitness,Swimming,Beginner,24.6,Hypertension,7,Vegetarian,Yoga,Calorie-Deficit
U0104,31,Non-Binary,Weight Loss,Swimming,Advanced,24.9,Hypertension,10,Non-Vegetarian,Swimming,Calorie-Deficit
U0105,38,Male,Endurance,Swimming,Beginner,23.9,Diabetes,5,Vegan,Swimming,High-Protein
U0106,49,Non-Binary,Endurance,Yoga,Advanced,21.2,None,2,Vegetarian,Weightlifting,Calorie-Deficit
U0107,50,Non-Binary,Weight Loss,Cardio,Intermediate,21.8,None,8,Non-Vegetarian,Yoga,Balanced
U0108,46,Female,Muscle Gain,Yoga,Advanced,28.7,Asthma,4,Non-Vegetarian,HIIT,Calorie-Deficit
U0109,22,Non-Binary,Endurance,Cardio,Intermediate,26.4,Diabetes,5,Keto,Swimming,Low-Carb
U0110,38,Male,Weight Loss,Swimming,Intermediate,21.5,None,1,Vegetarian,Weightlifting,Calorie-Deficit
U0111,55,Female,General Fitness,Cardio,Beginner,23.1,None,8,Keto,Swimming,Low-Carb
U0112,45,Non-Binary,Endurance,Strength Training,Advanced,26.1,None,7,Vegan,HIIT,Balanced
U0113,54,Female,Endurance,Swimming,Advanced,27.8,None,6,Non-Vegetarian,Yoga,High-Protein
U0114,44,Male,Weight Loss,Swimming,Beginner,23.8,Hypertension,10,Vegan,Yoga,Balanced
U0115,31,Female,Muscle Gain,Yoga,Advanced,24.8,Hypertension,10,Vegetarian,HIIT,High-Protein
U0116,25,Female,Weight Loss,Swimming,Beginner,27.2,Hypertension,1,Keto,Yoga,Calorie-Deficit
U0117,33,Male,General Fitness,Cardio,Beginner,19.3,None,8,Keto,HIIT,Calorie-Deficit
U0118,56,Female,Muscle Gain,Cardio,Beginner,21.8,Diabetes,8,Non-Vegetarian,HIIT,Calorie-Deficit
U0119,55,Female,Endurance,Cardio,Intermediate,22.0,Asthma,5,Vegetarian,Weightlifting,Low-Carb
U0120,48,Female,Weight Loss,Yoga,Beginner,21.6,Diabetes,6,Keto,Weightlifting,Low-Carb
U0121,32,Non-Binary,General Fitness,Swimming,Advanced,29.8,Hypertension,7,Vegan,Yoga,Low-Carb
U0122,59,Non-Binary,Muscle Gain,Yoga,Intermediate,27.0,Diabetes,9,Non-Vegetarian,HIIT,Low-Carb
U0123,22,Female,Endurance,Strength Training,Advanced,25.6,None,3,Vegetarian,Yoga,Calorie-Deficit
U0124,18,Male,Weight Loss,Swimming,Beginner,19.7,None,2,Keto,Swimming,Low-Carb
U0125,47,Male,Muscle Gain,Strength Training,Advanced,22.3,Hypertension,5,Vegetarian,Swimming,Low-Carb
U0126,42,Female,Endurance,Cardio,Intermediate,24.4,Diabetes,3,Keto,HIIT,Balanced
U0127,56,Female,Muscle Gain,Cardio,Advanced,22.2,Hypertension,2,Non-Vegetarian,Swimming,Low-Carb
U0128,19,Female,Weight Loss,Yoga,Advanced,25.6,Hypertension,9,Vegetarian,Weightlifting,Low-Carb
U0129,48,Female,Weight Loss,Strength Training,Advanced,23.2,Hypertension,6,Non-Vegetarian,Yoga,Low-Carb
U0130,44,Non-Binary,Muscle Gain,Strength Training,Beginner,19.0,Asthma,9,Keto,Weightlifting,Low-Carb
U0131,24,Male,Muscle Gain,Strength Training,Advanced,20.8,None,4,Vegetarian,Weightlifting,Low-Carb
U0132,26,Female,Muscle Gain,Strength Training,Beginner,24.7,None,8,Non-Vegetarian,Swimming,Calorie-Deficit
U0133,58,Non-Binary,Weight Loss,Yoga,Advanced,21.4,Asthma,3,Vegan,Yoga,Balanced
U0134,21,Non-Binary,General Fitness,Yoga,Intermediate,21.9,Diabetes,2,Keto,Weightlifting,High-Protein
U0135,37,Female,Muscle Gain,Cardio,Beginner,28.4,None,3,Keto,HIIT,Calorie-Deficit
U0136,60,Female,Endurance,Yoga,Beginner,19.7,Hypertension,8,Keto,Yoga,High-Protein
U0137,45,Non-Binary,General Fitness,Strength Training,Advanced,25.8,None,1,Vegan,Weightlifting,High-Protein
U0138,22,Female,Weight Loss,Cardio,Advanced,24.4,Asthma,10,Vegan,HIIT,Low-Carb
U0139,28,Non-Binary,Muscle Gain,Strength Training,Intermediate,29.2,Diabetes,2,Keto,Weightlifting,High-Protein
U0140,59,Male,Muscle Gain,Yoga,Advanced,27.4,None,7,Vegan,Swimming,Calorie-Deficit
U0141,60,Non-Binary,Weight Loss,Strength Training,Intermediate,18.6,Asthma,3,Non-Vegetarian,Yoga,Low-Carb
U0142,54,Non-Binary,Endurance,Strength Training,Beginner,29.9,Asthma,6,Keto,Yoga,Low-Carb
U0143,59,Non-Binary,Muscle Gain,Strength Training,Beginner,29.1,Hypertension,2,Non-Vegetarian,Yoga,High-Protein
U0144,43,Male,Endurance,Cardio,Advanced,29.0,Hypertension,10,Keto,HIIT,Calorie-Deficit
U0145,24,Male,Endurance,Strength Training,Beginner,20.3,None,3,Keto,Yoga,Balanced
U0146,58,Non-Binary,Endurance,Cardio,Advanced,22.3,Hypertension,10,Non-Vegetarian,Yoga,High-Protein
U0147,60,Non-Binary,Endurance,Cardio,Advanced,27.1,None,6,Non-Vegetarian,Weightlifting,Balanced
U0148,57,Female,Endurance,Yoga,Intermediate,22.1,Diabetes,6,Keto,Yoga,Low-Carb
U0149,59,Non-Binary,Endurance,Strength Training,Beginner,21.7,None,1,Non-Vegetarian,HIIT,Balanced
U0150,24,Female,Endurance,Cardio,Advanced,20.1,None,5,Vegetarian,Weightlifting,High-Protein
U0151,23,Female,Endurance,Strength Training,Advanced,24.3,None,4,Vegetarian,HIIT,Low-Carb
U0152,58,Female,Muscle Gain,Cardio,Advanced,20.9,Diabetes,1,Vegetarian,HIIT,Calorie-Deficit
U0153,59,Non-Binary,Muscle Gain,Yoga,Advanced,25.5,Diabetes,1,Non-Vegetarian,Swimming,High-Protein
U0154,38,Female,General Fitness,Cardio,Intermediate,28.3,Asthma,5,Keto,Yoga,Calorie-Deficit
U0155,59,Non-Binary,Endurance,Cardio,Advanced,27.3,None,9,Keto,HIIT,Low-Carb
U0156,54,Female,Muscle Gain,Yoga,Advanced,22.6,Diabetes,3,Keto,Swimming,Low-Carb
U0157,49,Non-Binary,Muscle Gain,Swimming,Intermediate,18.8,Hypertension,3,Vegetarian,Weightlifting,Balanced
U0158,32,Non-Binary,Endurance,Yoga,Beginner,29.2,None,9,Vegetarian,Swimming,Balanced
U0159,54,Male,Muscle Gain,Swimming,Beginner,25.5,Diabetes,5,Vegan,Weightlifting,Low-Carb
U0160,25,Non-Binary,Weight Loss,Cardio,Intermediate,23.9,Diabetes,4,Non-Vegetarian,Swimming,Low-Carb
U0161,18,Male,Endurance,Yoga,Advanced,28.6,Diabetes,2,Vegetarian,Weightlifting,High-Protein
U0162,34,Female,General Fitness,Cardio,Advanced,19.3,Hypertension,2,Vegetarian,Swimming,Balanced
U0163,31,Non-Binary,Muscle Gain,Yoga,Advanced,23.4,Diabetes,7,Non-Vegetarian,Swimming,Calorie-Deficit
U0164,43,Female,Muscle Gain,Strength Training,Beginner,19.0,Asthma,8,Keto,Yoga,High-Protein
U0165,19,Female,Muscle Gain,Cardio,Beginner,21.9,Diabetes,3,Vegetarian,Swimming,Calorie-Deficit
U0166,44,Female,Muscle Gain,Yoga,Advanced,26.6,Diabetes,4,Vegetarian,Yoga,Calorie-Deficit
U0167,55,Non-Binary,Weight Loss,Strength Training,Advanced,25.7,Hypertension,10,Vegetarian,Yoga,Low-Carb
U0168,60,Non-Binary,General Fitness,Strength Training,Beginner,25.1,Asthma,7,Vegan,Weightlifting,High-Protein
U0169,32,Male,General Fitness,Strength Training,Intermediate,26.4,None,10,Vegan,Swimming,Calorie-Deficit
U0170,42,Female,Endurance,Cardio,Beginner,24.0,Hypertension,10,Vegetarian,HIIT,Calorie-Deficit
U0171,41,Male,Endurance,Strength Training,Advanced,21.7,Diabetes,9,Vegetarian,Weightlifting,Calorie-Deficit
U0172,25,Non-Binary,General Fitness,Swimming,Advanced,22.9,None,3,Non-Vegetarian,HIIT,High-Protein
U0173,21,Male,Muscle Gain,Swimming,Intermediate,26.5,Diabetes,1,Keto,Yoga,High-Protein
U0174,18,Male,Endurance,Strength Training,Intermediate,19.0,Hypertension,3,Vegan,Weightlifting,Low-Carb
U0175,28,Male,Endurance,Cardio,Advanced,27.0,None,6,Non-Vegetarian,Weightlifting,Low-Carb
U0176,40,Non-Binary,General Fitness,Swimming,Advanced,22.7,Diabetes,10,Vegetarian,Yoga,High-Protein
U0177,35,Male,Endurance,Yoga,Advanced,19.2,None,10,Non-Vegetarian,HIIT,High-Protein
U0178,58,Female,General Fitness,Swimming,Advanced,24.3,Hypertension,1,Vegetarian,Weightlifting,High-Protein
U0179,56,Female,General Fitness,Strength Training,Intermediate,24.8,Diabetes,8,Vegetarian,Weightlifting,High-Protein
U0180,42,Female,Weight Loss,Cardio,Intermediate,25.3,None,3,Keto,Yoga,Low-Carb
U0181,20,Male,General Fitness,Strength Training,Intermediate,25.9,Asthma,10,Vegetarian,HIIT,Low-Carb
U0182,42,Non-Binary,Endurance,Cardio,Advanced,23.0,Diabetes,6,Vegetarian,HIIT,Low-Carb
U0183,33,Female,General Fitness,Strength Training,Advanced,29.1,Asthma,9,Non-Vegetarian,Weightlifting,Calorie-Deficit
U0184,45,Non-Binary,General Fitness,Cardio,Intermediate,23.3,Hypertension,1,Keto,Weightlifting,Calorie-Deficit
U0185,25,Male,Endurance,Yoga,Beginner,25.4,None,9,Non-Vegetarian,Yoga,Low-Carb
U0186,57,Non-Binary,Muscle Gain,Strength Training,Intermediate,28.9,Diabetes,5,Keto,Yoga,High-Protein
U0187,52,Male,Weight Loss,Yoga,Beginner,19.7,Hypertension,7,Vegetarian,Swimming,High-Protein
U0188,48,Non-Binary,Weight Loss,Swimming,Beginner,24.6,Asthma,1,Non-Vegetarian,HIIT,High-Protein
U0189,51,Non-Binary,Muscle Gain,Yoga,Beginner,24.4,Diabetes,1,Keto,HIIT,Balanced
U0190,18,Female,General Fitness,Cardio,Advanced,20.6,Diabetes,5,Keto,Weightlifting,Low-Carb
U0191,23,Non-Binary,Muscle Gain,Yoga,Intermediate,30.0,Diabetes,2,Non-Vegetarian,HIIT,High-Protein
U0192,49,Male,Endurance,Yoga,Beginner,27.2,Diabetes,9,Keto,HIIT,High-Protein
U0193,41,Female,Muscle Gain,Cardio,Advanced,25.6,Diabetes,10,Vegan,Yoga,Calorie-Deficit
U0194,19,Female,Endurance,Strength Training,Intermediate,27.7,Hypertension,9,Non-Vegetarian,HIIT,Calorie-Deficit
U0195,18,Non-Binary,Muscle Gain,Swimming,Beginner,24.3,Diabetes,6,Keto,Yoga,Calorie-Deficit
U0196,18,Non-Binary,Weight Loss,Yoga,Beginner,22.7,Diabetes,10,Vegetarian,HIIT,Low-Carb
U0197,43,Non-Binary,Endurance,Cardio,Beginner,21.5,Diabetes,1,Keto,Swimming,High-Protein
U0198,46,Female,Endurance,Swimming,Advanced,20.9,Hypertension,6,Vegan,Yoga,High-Protein
U0199,52,Male,General Fitness,Swimming,Beginner,22.6,Asthma,8,Keto,Yoga,Low-Carb
U0200,55,Male,Endurance,Swimming,Intermediate,20.8,None,9,Keto,Swimming,Calorie-Deficit
U0201,24,Non-Binary,Weight Loss,Cardio,Intermediate,22.5,Asthma,7,Vegan,Yoga,Calorie-Deficit
U0202,21,Non-Binary,General Fitness,Yoga,Beginner,24.1,Hypertension,2,Vegetarian,Weightlifting,Calorie-Deficit
U0203,33,Female,General Fitness,Yoga,Intermediate,19.9,Asthma,3,Non-Vegetarian,HIIT,High-Protein
U0204,57,Female,Endurance,Strength Training,Beginner,24.7,Asthma,8,Vegetarian,Yoga,Balanced
U0205,37,Male,Muscle Gain,Cardio,Advanced,24.0,Diabetes,3,Non-Vegetarian,Swimming,High-Protein
U0206,60,Non-Binary,Endurance,Swimming,Advanced,20.7,None,1,Vegan,Yoga,Calorie-Deficit
U0207,56,Male,Endurance,Swimming,Advanced,20.8,Diabetes,7,Vegan,Yoga,Balanced
U0208,39,Male,Weight Loss,Swimming,Advanced,24.0,Hypertension,1,Vegan,Yoga,Calorie-Deficit
U0209,37,Male,General Fitness,Yoga,Beginner,20.6,Asthma,9,Non-Vegetarian,Yoga,Calorie-Deficit
U0210,49,Male,Endurance,Strength Training,Beginner,25.2,Hypertension,6,Non-Vegetarian,HIIT,Balanced
U0211,37,Male,Endurance,Swimming,Advanced,21.9,Hypertension,6,Non-Vegetarian,HIIT,Balanced
U0212,21,Female,General Fitness,Cardio,Intermediate,19.7,Asthma,10,Non-Vegetarian,HIIT,Low-Carb
U0213,39,Male,Muscle Gain,Swimming,Beginner,18.5,Asthma,7,Vegetarian,HIIT,High-Protein
U0214,49,Non-Binary,Endurance,Swimming,Beginner,21.9,None,3,Vegetarian,Weightlifting,Balanced
U0215,57,Non-Binary,Muscle Gain,Strength Training,Beginner,20.7,Asthma,4,Vegan,Weightlifting,Low-Carb
U0216,53,Female,Muscle Gain,Yoga,Advanced,25.6,None,3,Vegan,Yoga,Low-Carb
U0217,45,Female,General Fitness,Swimming,Advanced,22.4,Asthma,2,Non-Vegetarian,Yoga,Low-Carb
U0218,33,Male,Muscle Gain,Strength Training,Intermediate,26.6,Asthma,4,Vegan,Weightlifting,Calorie-Deficit
U0219,45,Male,Weight Loss,Cardio,Intermediate,22.8,Hypertension,2,Keto,HIIT,Low-Carb
U0220,56,Non-Binary,Endurance,Yoga,Beginner,19.5,None,8,Keto,Yoga,Low-Carb
U0221,36,Male,Endurance,Yoga,Intermediate,22.4,None,7,Non-Vegetarian,Yoga,High-Protein
U0222,23,Non-Binary,General Fitness,Cardio,Beginner,20.0,Hypertension,10,Non-Vegetarian,Swimming,High-Protein
U0223,25,Male,Muscle Gain,Swimming,Advanced,27.1,Asthma,8,Keto,Swimming,Low-Carb
U0224,37,Female,Endurance,Cardio,Intermediate,20.4,None,6,Vegan,Swimming,High-Protein
U0225,43,Female,Endurance,Yoga,Advanced,18.7,None,10,Non-Vegetarian,Weightlifting,Low-Carb
U0226,58,Male,General Fitness,Cardio,Beginner,18.7,Asthma,6,Vegan,Swimming,Low-Carb
U0227,41,Female,Muscle Gain,Swimming,Intermediate,25.0,Hypertension,2,Vegan,Weightlifting,Calorie-Deficit
U0228,41,Female,Muscle Gain,Strength Training,Advanced,24.2,Hypertension,1,Vegetarian,HIIT,High-Protein
U0229,27,Male,Muscle Gain,Yoga,Beginner,26.0,Asthma,8,Vegetarian,Yoga,Calorie-Deficit
U0230,36,Male,Muscle Gain,Yoga,Beginner,22.2,Hypertension,7,Vegetarian,Yoga,High-Protein
U0231,54,Male,Weight Loss,Strength Training,Advanced,28.4,Diabetes,2,Vegan,Yoga,Low-Carb
U0232,51,Non-Binary,Muscle Gain,Swimming,Intermediate,26.9,None,7,Non-Vegetarian,HIIT,High-Protein
U0233,42,Non-Binary,General Fitness,Swimming,Beginner,23.6,Hypertension,7,Vegan,Weightlifting,Balanced
U0234,19,Female,Weight Loss,Swimming,Intermediate,19.0,Hypertension,10,Vegan,Yoga,Low-Carb
U0235,53,Female,Muscle Gain,Strength Training,Advanced,18.7,Hypertension,7,Non-Vegetarian,HIIT,Low-Carb
U0236,39,Male,Muscle Gain,Cardio,Advanced,25.0,None,9,Non-Vegetarian,HIIT,Calorie-Deficit
U0237,48,Female,Muscle Gain,Strength Training,Intermediate,22.0,Asthma,7,Non-Vegetarian,Swimming,Calorie-Deficit
U0238,50,Female,Weight Loss,Strength Training,Intermediate,28.2,Hypertension,8,Non-Vegetarian,Swimming,Calorie-Deficit
U0239,46,Female,General Fitness,Cardio,Advanced,27.9,None,7,Keto,Weightlifting,Calorie-Deficit
U0240,48,Female,Endurance,Yoga,Beginner,23.1,Asthma,1,Non-Vegetarian,HIIT,Balanced
U0241,46,Non-Binary,Weight Loss,Cardio,Advanced,21.4,Asthma,1,Keto,Weightlifting,High-Protein
